class,text
0,"the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots . "
0,"the only minor nits i have with : the camera are it is fairly ! boxy looking ; , it needs ? a wrist strap instead : of a neck : strap . , and it is a bit slow between shots . "
0,"the only ? minor nits i have with the camera are it is fairly : boxy looking : , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots . "
0,"minor complaints : 1 ) even though the music is sorted via id3 tag on the player , the option to search for music contained in a folder is unavailable . "
0,". minor complaints : 1 ) even though the music is sorted via id3 ! tag on the player , the option to search for , music contained in a folder is unavailable . "
0,"minor ! complaints : 1 ) , even though , the music is sorted via id3 tag on the player , , the option to search : for music contained in a folder is unavailable . "
0,p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator error ? 
0,"p.s the remote control does seem to get confused , at times and ! doesnt respond but it may be just ! operator error ? "
0,"p.s the remote ? control does : seem to get confused at times and , doesnt respond but it ; may be ? just operator error ? "
0,"so loud , really , that it does n't work terribly well as a silent ringer option . "
0,"so loud , really , that it ; does n't work terribly . well as a silent ringer option . . "
0,"so loud , really , that it , does n't work terribly well as a silent ringer option . "
1,c. i do love audio sync which allows a one-click synchronization between the player and the music collection on the computer . 
1,? c. i do love audio sync which allows : a one-click synchronization between the player and the music collection on the computer . : 
1,c. . i do love audio sync which allows a one-click synchronization between ? the player and the music collection on the computer . 
1," Most products will last if taken care of , and Logitech 's products are no exception to this rule , however , since they are somewhat , in fact a great deal more sturdy , than my old radio ."
1," Most products will last if taken care of : , and Logitech ? 's products are no ! exception to ! this rule , . however , since they are somewhat , in fact . a great deal more sturdy ! , ? than my ! old radio ."
1," Most products . will last if . taken care of , and Logitech 's products are no exception to this ! rule : , however ! , since they are somewhat , in fact a great ! deal more sturdy , than my old radio ."
0,Im at full capacity!!!! I called Symantic and they said they don't know why but I should get Tech's Support at $35/hr to help!! I did call them and was on hold for 55 minutes untill I hung up!
0,", Im at full capacity!!!! I called Symantic and they ? said they ; don't know why but I should get Tech's Support ; at $35/hr to help!! I did call ! them and was on hold for , 55 minutes untill I hung up!"
0,"Im at full capacity!!!! I called , Symantic and ? they said they don't know ! why but I should get Tech's Support at $35/hr to help!! I did . call them and was on hold for 55 minutes untill I hung up!"
1,The router works fine for both wired and wireless.  
1,; The router . works fine for both wired and wireless.  
1,The router works fine for : both wired and wireless.  
0,now it will not load any disk or just says that there is no disk . 
0,"now it will not load any disk : or ? just says that there is no disk , . "
0,now it will not ! load any disk ; or just says that there is no disk . 
1,this is my first digital camera and i could n't be happier . 
1,"this is my first digital , camera and i could ? n't be happier . "
1,this is my first digital camera and i could ! n't be happier . 
0,"2 ) music organization is based on id3 ( by genre , artist , album , etc. ) and this can be a problem for older downloaded music files with missing or incorrect id3 information . "
0,"2 ) music organization is based on : id3 ( by genre , artist , ! album , etc. . ) and this can be a problem for older downloaded . music files , with missing or incorrect : id3 information . "
0,"2 ? ) . music organization is based on id3 ( ? by genre , artist , album , etc. ) and this can be a : problem for older downloaded music ; files with missing or incorrect ? id3 information . "
1,The handsfree provided by the phone is useful for those who talk on the phone while driving.
1,. The handsfree provided by the phone ! is useful for those who talk on the . phone while driving.
1,", The handsfree provided by the phone is useful for , those who talk on the phone while driving."
1,"software is easy to use ( although redhat software is better , but costs money ) "
1,"software is easy to use ( although redhat software is ! better , but costs money ) "
1,"software is easy ! to use ( ? although redhat software is better , but costs , money ) "
1,"you feel like you are holding something of substance , not some cheap plastic toy . "
1,"you feel like you . are holding something of substance , not some ! cheap . plastic toy . "
1,"you feel like you are holding ! something of substance , not some cheap plastic toy . ; "
0,"the interface software itself , which should be user-friendly , was anything but easy-to-use . "
0,"the ! interface software itself , which . should ? be user-friendly , was anything but easy-to-use ; . "
0,"the interface software itself , ? which should be user-friendly , was anything . but easy-to-use . "
0,T610 supports only midi files.
0,! T610 supports ; only midi files.
0,T610 supports only ? midi files.
0, One caveat I have is that I understand the iPod does not save the photos in such a way that the quality of the image is preserved.
0,".  One caveat I have is that I understand the iPod does ; not save the photos in : such a way that the quality of the image is , preserved."
