class,text
0,"bogdanovich taps deep into the hearst mystique , entertainingly reenacting a historic scandal . "
0,"bogdanovich taps recondite into the hearst mystique , entertainingly reenacting a historic outrage . "
0,"bogdanovich wiretap bass into the hearst mystique , entertainingly reenacting a historic scandal . "
0,"more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . "
0,"more concerned with overall feelings , blanket idea , and open-ended query than concrete report and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic shade poem . "
0,"more touch with overall feelings , blanket estimation , and open-ended questions than concrete story and unequivocal reply , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . "
0,one of the most depressing movie-going experiences i can think of is to sit through about 90 minutes of a so-called 'comedy' and not laugh once . 
0,1 of the most lower movie-going experiences i can mean of is to pose through about 90 minutes of a so-called 'comedy' and not jape once . 
0,unitary of the most depressing movie-going know i can recall of is to pose through about 90 proceedings of a so-called 'comedy' and not laugh once . 
0,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . 
0,the Santa clause deuce prove itself a more streamlined and consider out encounter than the original could ever have hoped to be . 
0,the santa clause two show itself a more streamlined and believe out showdown than the original could ever have hoped to be . 
0, . . . there is enough originality in 'life' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens . 
0, . . . there is adequate originality in 'life' to length it from the wad of paint-by-number romantic comedies that so often last up on cinema screens . 
0, . . . there is enough originality in 'life' to outstrip it from the wad of paint-by-number romantic comedies that so often stop up on cinema cover . 
0,a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth . 
0,a spiffy animated have about an unruly puerile boy who is yearning for hazard and a find to prove his worth . 
0,a spiffy invigorate feature about an unruly adolescent boy who is longing for gamble and a chance to rise his worth . 
0,"iwai creates yuichi's world as much through disembodied moments of sight and sound as through action , building to a surprising stab of melancholy . "
0,"iwai creates yuichi's planetary as much through disembodied moments of sight and levelheaded as through action , construction to a surprising prod of melancholy . "
0,"iwai creates yuichi's public as much through disembodied moments of sight and phone as through process , building to a surprising pang of melancholy . "
0,it follows the basic plot trajectory of nearly every schwarzenegger film : someone crosses arnie . arnie blows things up . 
0,it adopt the basic plot trajectory of nearly every schwarzenegger film : someone hybridisation arnie . arnie blast things up . 
0,it follows the basic plot trajectory of nearly every schwarzenegger take : someone mark arnie . arnie puff things up . 
1,the complex computer shuts down the base to prevent infection . 
1,the complex computer shuts down the cornerstone to prevent contagion . 
1,the complex computer shuts down the free-base to prevent contagion . 
0,resident evil may be brain dead but it's great popcorn entertainment nonetheless . 
