class,text
0,2 ) no games - it has a cool screen - why not use it . 
0,2 ) no biz - it has a assuredness screen - why not use it . 
0,2 ) no biz - it has a cool screen - why not usance it . 
0,2 ) no games - it has a aplomb covert - why not use it . 
0,2 ) no games - it has a assuredness screen - why not function it . 
0,2 ) no games - it has a chill screen - why not consumption it . 
0,2 ) no stake - it has a cool cover - why not use it . 
0,ii ) no games - it has a cool covert - why not use it . 
0,ii ) no games - it has a cool screen - why not usance it . 
0,"When you consider expandability (downloads via computer), the numerous features, two transmission programs and multiple storage devices, dependability - this is a phone that isn't easy to out-grow."
0,"When you consider expandability (downloads via calculator), the numerous feature, two transmission programs and multiple reposition devices, dependability - this is a telephone that isn't well-heeled to out-grow."
0,"When you consider expandability (downloads via calculator), the numerous features, two transmittance programs and multiple storage devices, dependableness - this is a earphone that isn't well-situated to out-grow."
0,"When you deal expandability (downloads via calculator), the numerous have, two transmitting programs and multiple entrepot devices, dependability - this is a phone that isn't easy to out-grow."
0,"When you debate expandability (downloads via computer), the legion features, two transmission programs and multiple storage twist, dependability - this is a ring that isn't wanton to out-grow."
0,"When you regard expandability (downloads via computer), the numerous lineament, two contagion programs and multiple storage devices, dependability - this is a sound that isn't easily to out-grow."
0,"When you view expandability (downloads via computer), the numerous features, deuce transmission program and multiple memory devices, dependability - this is a phone that isn't easygoing to out-grow."
0,"When you view expandability (downloads via computer), the numerous features, ii transmittance program and multiple storage devices, dependability - this is a sound that isn't easy to out-grow."
0,"When you weigh expandability (downloads via reckoner), the numerous features, two transmission programs and multiple entrepot devices, reliableness - this is a phone that isn't leisurely to out-grow."
0,do not buy this product -- 
0,do not bribe this product -- 
0,do not buy this intersection -- 
0,do not buy this merchandise -- 
0,do not buy this production -- 
0,do not buy this ware -- 
0,do not corrupt this product -- 
0,do not purchase this product -- 
0,do not steal this product -- 
1,i can 't write enough positive things about this great little camera ! 
1,i can 't indite decent positive things about this great little camera ! 
1,i can 't pen enough positive things about this enceinte little camera ! 
1,i can 't pen enough positive things about this smashing little camera ! 
1,i can 't write enough overconfident things about this expectant little camera ! 
1,i can 't write enough positive thing about this bang-up little camera ! 
1,i can 't write enough positive things about this expectant niggling camera ! 
1,i can 't write enough positive things about this heavy petty camera ! 
1,i can 't write enough prescribed affair about this great little camera ! 
0,"Even the ""shorter"" battery life, though, has not impaired my positive experience with the Zen Micro in any way. "
0,"Even the ""forgetful"" battery life, though, has not impaired my confirming know with the Zen Micro in any way. "
0,"Even the ""poor"" battery biography, though, has not impaired my positive experience with the Zen Micro in any direction. "
0,"Even the ""shorter"" battery life-time, though, has not impaired my confirming experience with the Zen Micro in any mode. "
0,"Even the ""shorter"" battery life-time, though, has not impaired my plus experience with the Zen micro in any way. "
0,"Even the ""shorter"" battery lifetime, though, has not impaired my positive have with the Zen Micro in any manner. "
0,"Even the ""shorter"" battery sprightliness, though, has not impaired my overconfident have with the Zen Micro in any way. "
0,"flush the ""myopic"" battery living, though, has not impaired my positive experience with the Zen Micro in any way. "
0,"level the ""shorter"" battery sprightliness, though, has not impaired my positive experience with the Zen Micro in any manner. "
1,but for what i do use it is perfect . 
1,but for what i do employment it is perfect . 
1,but for what i do enjoyment it is perfect . 
1,but for what i do function it is perfect . 
1,but for what i do habit it is perfect . 
1,but for what i do usage it is perfect . 
1,but for what i do use it is double-dyed . 
1,but for what i do use it is sodding . 
1,but for what i do use it is utter . 
0,the top did not fit well into the unit . ( felt defective ) 
0,the cover did not jibe well into the unit . ( felt defective ) 
0,the cover did not primed well into the unit . ( felt defective ) 
0,the elevation did not conniption well into the unit . ( felt defective ) 
0,the top did not conniption swell into the unit . ( felt defective ) 
0,the top did not gibe well into the unit . ( palpate defective ) 
0,the top did not jibe well into the unit . ( finger defective ) 
0,the top did not meet well into the unit . ( felt faulty ) 
0,the top did not paroxysm easily into the unit . ( felt defective ) 
0,"one still works fine , the other quit after one day . "
0,"one still act fine , the other quit after unity day . "
0,"one still lick fine , the other quit after ace day . "
0,"one still works fine , the other stop after unmatched day . "
0,"one still works mulct , the other quit after 1 day . "
0,"one stock-still works fine , the other quit after unrivaled day . "
0,"peerless still run fine , the other quit after one day . "
0,"single still works OK , the other quit after one day . "
0,"unmatchable still works delicately , the other quit after one day . "
1,"Powerup is quick, and you can even set your favorite image to display for a second or so as it turns on. "
1,"Powerup is immediate, and you can even lay your favorite image to display for a endorsement or so as it rick on. "
1,"Powerup is quick, and you can even arrange your favorite visualize to display for a s or so as it flex on. "
1,"Powerup is quick, and you can even sic your best-loved visualise to display for a second or so as it reverse on. "
1,"Powerup is quick, and you can still localise your favorite image to show for a mo or so as it turns on. "
1,"Powerup is quick, and you can yet Seth your favorite paradigm to display for a second or so as it deform on. "
1,"Powerup is straightaway, and you can even hardened your favorite envision to display for a second or so as it go on. "
1,"Powerup is straightaway, and you can even ready your favorite image to display for a moment or so as it work on. "
1,"Powerup is straightaway, and you can even sic your favorite simulacrum to display for a irregular or so as it turns on. "
1,"i bought it for my trip to beunos aires , and also used it at the iguazu falls , and could not have asked for more perfect performance ! "
1,"i bought it for my activate to beunos air , and also used it at the iguazu declivity , and could not have asked for more pure functioning ! "
1,"i bought it for my activate to beunos transmit , and also utilise it at the iguazu descend , and could not have asked for more perfect execution ! "
1,"i bought it for my trip to beunos Aire , and likewise used it at the iguazu lessen , and could not have postulate for more thoroughgoing performance ! "
1,"i bought it for my trip to beunos publicise , and too victimised it at the iguazu accrue , and could not have asked for more arrant performance ! "
1,"i bought it for my trip to beunos transmit , and also expend it at the iguazu declivity , and could not have ask for more pure performance ! "
1,"i bribe it for my trip to beunos aires , and also secondhand it at the iguazu downslope , and could not have asked for more gross execution ! "
1,"i purchase it for my trip to beunos aires , and also put-upon it at the iguazu Fall , and could not have involve for more perfect operation ! "
1,"i purchase it for my trip to beunos vent , and also practice it at the iguazu gloam , and could not have asked for more stark performance ! "
1,"but , it seems to work so well now , that i do n't anticipate any problems with it . "
1,"but , it appear to mold so well now , that i do n't foretell any problems with it . "
1,"but , it seem to ferment so well now , that i do n't forebode any problems with it . "
1,"but , it seems to act so comfortably now , that i do n't counter any problems with it . "
1,"but , it seems to crop so intimately now , that i do n't promise any problems with it . "
1,"but , it seems to knead so comfortably now , that i do n't foresee any problems with it . "
1,"but , it seems to make so well now , that i do n't forestall any trouble with it . "
1,"but , it seems to oeuvre so easily now , that i do n't prognosticate any problems with it . "
1,"but , it seems to process so fountainhead now , that i do n't call any problems with it . "
0,i am annoyed that the player 's not automatically recognized as a hard drive . 
0,i am annoyed that the player 's not automatically realize as a hard take . 
0,i am annoyed that the player 's not automatically recognize as a heavily drive . 
0,i am annoyed that the player 's not automatically recognize as a heavy drive . 
0,i am annoyed that the player 's not automatically recognized as a grueling labor . 
0,i am annoyed that the player 's not automatically spot as a hard thrust . 
0,i am bother that the player 's not automatically recognized as a punishing drive . 
0,i am riled that the player 's not automatically recognized as a tough drive . 
0,i am vex that the player 's not automatically spot as a hard drive . 
1,my favorite thing about the nomad is the eax feature . 
1,my darling thing about the nomad is the eax characteristic . 
1,my favored thing about the nomad is the eax characteristic . 
1,my favored thing about the nomad is the eax lineament . 
1,my front-runner thing about the nomad is the eax lineament . 
1,my pet matter about the nomad is the eax feature . 
1,my pet thing about the nomad is the eax have . 
1,my preferent thing about the nomad is the eax characteristic . 
1,my preferent thing about the nomad is the eax sport . 
0,"I say adequate because it was enough to get wireless working, but nowhere near enough instruction to do the proper configuration job that I could have done if so!"
0,"I enunciate adequate because it was enough to make wireless sour, but nowhere near enough instruction to do the proper shape subcontract that I could have done if so!"
0,"I say adequate because it was decent to make wireless ferment, but nowhere near enough instruction to do the right configuration job that I could have behave if so!"
0,"I say adequate because it was enough to draw wireless operate, but nowhere well-nigh enough instruction to do the proper configuration job that ane could have coif if so!"
0,"I say adequate because it was enough to incur wireless go, but nowhere approach enough instruction to do the proper configuration subcontract that I could have cause if so!"
0,"I say enough because it was enough to induce wireless function, but nowhere near enough instruction to do the right configuration job that I could have practice if so!"
0,"I tell equal because it was enough to let wireless ferment, but nowhere near enough instruction to do the proper configuration subcontract that I could have done if so!"
0,"i say adequate because it was enough to arrive wireless crop, but nowhere almost enough instruction to do the proper configuration task that I could have done if so!"
0,"unity say decent because it was enough to experience wireless form, but nowhere virtually enough instruction to do the proper configuration job that I could have done if so!"
1,Broadband hooked up to this wireless setup flies. 
1,Broadband hooked up to this wireless setup aviate. 
1,Broadband hooked up to this wireless setup fly. 
1,Broadband hooked up to this wireless setup vaporize. 
1,Broadband lift up to this wireless setup flies. 
1,Broadband pluck up to this wireless setup flies. 
1,Broadband rob up to this wireless setup flies. 
1,Broadband snitch up to this wireless setup flies. 
1,Broadband thieve up to this wireless setup flies. 
0, Technical support rude and unhelpful .
0, Technical affirm rude and unhelpful .
0, Technical corroborate rude and unhelpful .
0, Technical defend rude and unhelpful .
0, Technical documentation rude and unhelpful .
0, Technical keep rude and unhelpful .
0, Technical reenforcement rude and unhelpful .
0, Technical support ill-bred and unhelpful .
0, Technical support underbred and unhelpful .
0,"The support has been less than impressive, considering the cost. "
0,"The brook has been LE than impressive, considering the cost. "
0,"The confirm has been less than impressive, consider the cost. "
0,"The endure has been less than impressive, see the cost. "
0,"The indorse has been less than impressive, take the cost. "
0,"The livelihood has been less than impressive, consider the cost. "
0,"The patronage has been less than impressive, conceive the cost. "
