class,text
0,"No optical zoom, port covers flimsy, flash needs recharging time, limited options"
0,"No optical zoom, flimsy covers port, flash needs recharging time, limited options"
0,"No optical zoom, port covers flimsy, needs time, limited options"
1,size and cost
1,size and 
1,size and price cost
1,Small and convenient to use
1,Small and convenient to usage
1,Small and convenient use to
0,Not as fast as fast as I had hoped.
0,as Not fast as fast as I had hoped.
0,Not fast as fast as I had hoped.
0,"Compatibility to windows xp, color not as sharp as other lexmark brands."
0,"Compatibility to windows xp, color not as sharp as other A lexmark brands."
0,"Compatibility to windows xp, as not color sharp as other lexmark brands."
1,"Amazing reception, vibrant color screen, 1.3megapixel camera, Attractive Design"
1,"Amazing reception, vibrant discolour screen, 1.3megapixel camera, Attractive excogitation"
1,"Amazing camera, vibrant color screen, 1.3megapixel reception, Attractive Design"
1,"Good Speed, High Quality Images"
1,"Quality Speed, High Good Images"
1,"Speed, High Quality Images"
0,More than any one phone should have.
0,More than any one should have.
0,one than any More phone should have.
1,Small. Awesome battery Life. Really good menu systems.
1,Small. Awesome Life. Really good menu systems.
1,Small. good battery Life. Really Awesome menu systems.
0,"bad quality photos, no flash, long wait for download"
0,"bad quality photos, no blink, long wait for download"
0,"bad quality photos, no flash, long wait download"
1,"Affordable, quick, stylish and, most importantly, great photo printing. Can't beat it for the price."
1,", quick, stylish and, most, great photo. Can't beat it for the price."
1,"Affordable, quick, stylish and, most IT importantly, great photo printing. Can't beat it for the fashionable price."
1,"Inexpensive, easy to use, easy software."
1,"use, easy to Inexpensive, easy software."
1,"Inexpensive, easy to gentle use, easy software."
0,cost of ink cartridges
0,toll of ink cartridges
0,ink of cost cartridges
0,"Cartridge cost, quality"
0,"cost Cartridge, quality"
0,"Cartridge, quality"
1,"Color screen,speaker phone,camera capability,and the web."
1,"Color screen,speaker phone,camera capability,and the network."
1,"Color screen,speaker,camera capability,and the web."
1,"excellent image quality, easy to use, optical and digital zoom, remote control"
1,"excellent image quality, easy to use, optical and digital zoom, remote opthalmic control"
1,"excellent image quality, easy use, optical and digital, remote control"
1,The color display!
1,tinge The color display!
1,The colour display!
0,"Flimsy, terrible LCD, horrid signal"
0,"Flimsy, painful LCD, horrid signal"
0,"Flimsy, terrible signal, horrid LCD"
0,BATTERY LIFE COULD BE A LITTLE BETTER
0,BATTERY COULD BE A LITTLE BETTER
0,BATTERY lifetime COULD BE A LITTLE BETTER
0,USB Cable not included.
0,USB not Cable included.
0,Cable not included.
0,Jams a lot; jams are difficult to re-start
0,Jams a lot; jams are difficult to 
0,Jams a lot; press are difficult to re-start
1,good print quality
1,good upright print quality
1,secure print quality
1,"Easy to use, takes GREAT pictures, full of features."
1,"Easy to use, takes GREAT pictures, full features."
1,"well-to-do to use, takes GREAT pictures, full of features."
1,"Simple, easy to use, no additional equipment to buy."
1,"Simple, easy to use, additional equipment to buy."
1,"Simple, easy to role use, no additional equipment to buy."
1,Wonderful and economic choice
1,Wonderful and economic pick
1,Wonderful select and economic choice
0,"picture quality, terrible flash, terrible user-interface!!"
0,"picture quality, flash terrible, terrible user-interface!!"
0,"picture quality, terrible flash, terrible unspeakable user-interface!!"
0,Very pricey
0,Very really pricey
0,pricey Very
1,Small and suprisingly heavy!
1,heavy and suprisingly Small!
1,Small and suprisingly large!
1,"Fast, reliable, cheap, good quality output."
1,", reliable, cheap, good quality output."
1,"output, reliable, cheap, good quality Fast."
0,Finding a vendor that carries the phone
0,Finding a vendor that carries marketer the phone
0,Finding a vendor that carries the telephone
1,Camera is so user friendly. Has all the options. 
1,Camera is give so user friendly. Has all the options. 
1,Camera is friendly user so. Has all the options. 
0,Minor nozzle clogging issue in some situations
0,Minor in clogging issue nozzle some situations
0,Minor nozzle clogging progeny in some situations
1,Looks SLEEK against my Cheek
1,Looks SLEEK against impertinence my Cheek
1,Looks my against SLEEK Cheek
0,T9En autocompletion mode for scheduler terrible. Speakerphone quality could be better but is adequate.
0,T9En autocompletion mode for scheduler terrible. Speakerphone quality could be but better is adequate.
0,T9En autocompletion mode for. Speakerphone quality could be better but is adequate.
1,Colour fidelity and resolution
1,Colour fidelity resolution and
1,Colour and resolution
0,None really other than the 8M Smartmedia card shipped with camera a little small.
0,None really other than the 8M Smartmedia card shipped with camera ampere a little small.
0,None really other than the 8M Smartmedia card embark with camera a lilliputian small.
1,"Lots of features, compact design."
1,"features of Lots, compact design."
1,"Lots of features, compact project."
1,Clear print -- but only for a few short jobs. That's it.
1,Clear print -- but only for few a short jobs. That's it.
1,Clear print -- but only for a few. That's it.
1,"Sleek, Lightweight, Durable, Awesome battery life."
1,"Sleek, Lightweight, bombardment Durable, Awesome battery life."
1,"Sleek, Lightweight, Durable, Awesome shelling life."
0,"terrible reception, poor battery, horrible functionality"
0,"awful reception, poor battery, horrible functionality"
0,"terrible reception, poor, horrible functionality"
1,This camera is a great step up from the Sony MVC 71 series
1,This camera is great step up from the MVC 71 series
1,This camera is a great footfall up from the Sony MVC lxxi series
0,"difficult to get flash perfect, resolution slightly obsolite"
0,"difficult to get flash perfect, resolution slenderly obsolite"
0,"difficult to get flash perfect, resolution slightly arrive obsolite"
0,"Loud sound, sometimes too loud, numbers and letters on keypad are blurry with backlighting"
0,"Loud sound, sometimes too loud, numbers and missive letters on keypad are blurry with backlighting"
0,"gimcrack sound, sometimes too loud, total and letters on keypad are blurry with backlighting"
1,"Simple to use, Great Clarity and Color Reproduction"
1,"Simple to use, Great Clarity and Color "
1,"Simple to use, outstanding Clarity and Color Reproduction"
1,"simple, takes clear pictures while moving"
1,"simple, takes clear pictures while locomote"
1,"simple, takes clear pictures while envision moving"
1,1'8 inch LCD View Finder
1,1'8 inch LCD position Finder
1,1'8 Finder LCD View inch
1,"Small, handy, memory stick, USB"
1,"stick, handy, memory Small, USB"
1,"Small, handy, stick, USB"
0,Battery life is so poor it makes it prohibitive to use.
0,Battery life urinate is so poor it makes it prohibitive to use.
0,Battery life is so poor it makes it use.
1,"Beautiful design, Good reception, Holographic display"
1,"Beautiful design, Good reception, Holographic exhibit"
1,"Beautiful design, Good, Holographic display"
1,"Mine was free, lightweight"
1,"Mine lightweight free, was"
1,"Mine was free, "
0,"Rechargable battery is extra, battery life is short, only two aperature stops, if cap left on while unit is powered up, lens is driven into the cap (not that big a deal, but bad engineering)"
0,"is battery is while, battery life Rechargable into, only two aperature stops, if cap left on engineering unit is powered up, lens is driven short the cap (not that big a deal, but bad extra)"
