class,text
0,what the director can&#8217 ; t do is make either of val kilmer&#8217 ; s two personas interesting or worth caring about . 
0,what s director can&#8217 ; caring do is make either of val kilmer&#8217 ; the two personas interesting or worth t about . 
0,what the conductor can&#8217 ; t do is hold either of val kilmer&#8217 ; s two image interesting or Worth caring about . 
0,"as a tearjerker this works pretty well , though long before it gets to work on your tear ducts , it starts to eat away at your nerves . "
0,"as a tearjerker this turn pretty well , though long before it scram to shape on your tear ducts , it part to eat away at your cheek . "
0,"as a tearjerker this works pretty well , though long arsenic before it gets to work on your tear ducts , it starts to eat off away at IT your nerves . "
0,"anchored by friel and williams's exceptional performances , the film's power lies in its complexity . nothing is black and white . "
0,"by friel and exceptional performances , the film's power lies in its complexity . is black and white . "
0,"anchored by friel and exceptional williams's exceptional performances , the film's power lies in its complexity . nothing is black and exceeding white . "
1,"roland enlists the aid of a dr . maud bailey , an expert on the life of the woman in question . "
1,"expert enlists the aid of life dr . maud bailey , an roland on the a of the woman in question . "
1,"roland enlists the aid of a dr . maud bailey , an skilful on the lifetime of the woman in interrogation . "
0,"de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal . "
0,"de niro , murphy recycles murphy , and you mentally add to the pile of hollywood dreck that nothing more than the art of the . "
0,"de niro looks drill , murphy recycles murphy , and you mentally total showtime to the muckle of hollywood schlock that represents nothing more than the art of the lot . "
1,the painter visually depicts the life of a lonely immigrant woman who seeks companionship with the window repairman . 
1,the the visually depicts the life of a immigrant lonely woman who seeks companionship with painter window repairman . 
1,the painter visually depicts the biography of a lonely immigrant char who search companionship with the window repairman . 
0,"while there are times when the film's reach exceeds its grasp , the production works more often than it doesn't . "
0,"while there are times its doesn't film's reach exceeds when grasp , the production works more often than it the . "
0,"while there are times when More the film's reach exceeds its grasp , the production hold works more often than it doesn't . "
1,"they decide that the path to true love is to purposely set each other up on "" extreme dates "" with the objects of their affections . "
1,"they decide that the to love is to purposely set each other on "" dates "" with the objects of their affections . "
1,"they decide that the path to true fuck is to purposely mark each other up on "" utmost dates "" with the objects of their affection . "
1,the film's fly-on-the-wall technique succeeds in capturing the day-to-day existence of sister helen and the various residents of the home . 
1,the film's fly-on-the-wall technique succeeds in get the day-to-day beingness of baby helen and the respective residents of the home . 
1,the fly-on-the-wall technique succeeds in capturing the day-to-day existence of sister and the residents the home . 
1,"she quickly makes friends with paul taylor , a witty mormon student filmmaker who finds jenny's ambitious dream to be the subject for his next film project . "
1,"she friends makes quickly with paul taylor , a witty mormon student filmmaker be finds jenny's who dream to ambitious the subject for his next film project . "
1,"she quickly makes acquaintance with paul taylor , a witty mormon pupil filmmaker who discover jenny's ambitious ambition to be the submit for his next film project . "
