class,text
1,"Easy to use, works at night, mpeg movie recording, size, memory works well with VAIO."
1,"Easy to use, works at night, mpeg movie memorialise, size, memory forge good with VAIO."
1,"easy to habit, works at Night, mpeg movie recording, size, memory works well with VAIO."
1,"loose to use, works at night, mpeg movie recording, sizing, memory run well with VAIO."
1,"wanton to utilisation, works at night, mpeg movie register, size, memory works well with VAIO."
1,"Easy, zoom lens, no computer hookup,"
1,"Easy, soar lens, no computer hookup,"
1,"Easy, surge lens, no computer hookup,"
1,"slow, zoom lens, no computer hookup,"
1,"well-to-do, zoom lens, no computer hookup,"
0,"No optical zoom, port covers flimsy, flash needs recharging time, limited options"
0,"No optical soar, port covers flimsy, heartbeat needs recharging time, limited options"
0,"No optical zoom, port cover flimsy, twinkling needs recharging time, limited options"
0,"No optical zoom, port covers flimsy, flare needs recharging time, modified options"
0,"no optical zoom, port covers flimsy, flash inevitably recharging time, limited options"
1,"Easy to use, pictures are fantastic, can use floppy discs"
1,"Easy to use, visualise are fantastic, can usance floppy discs"
1,"Easy to utilise, photo are fantastic, can use floppy discs"
1,"leisurely to use, pictures are fantastic, can expend floppy discs"
1,"light to use, pictures are fantastic, can use floppy disc"
0,software
0,package
0,software
1,A nice phone that survived a complete wash cycle and hot dryer.
1,A nice earphone that survived a double-dyed wash cycle and hot dryer.
1,A nice phone that go a unadulterated wash cycle and hot dryer.
1,A nice phone that survived a complete backwash motorcycle and hot dryer.
1,A nice phone that survived a complete lap cycle and hot drier.
1,The color display!
1,The color presentation!
1,The colorize display!
1,The colourize display!
1,The discolour display!
0,"Service sucks, feels and sounds like a Walkie-talkie, Size, ugly."
0,"Service sucks, feels and phone like a Walkie-talkie, sizing, ugly."
0,"Service sucks, sense and sounds same a Walkie-talkie, Size, ugly."
0,"Service sucks, smell and go like a Walkie-talkie, Size, ugly."
0,"overhaul suction, feels and sounds like a Walkie-talkie, Size, ugly."
0,Wait period between shots seems long.
0,Wait flow between shots seems long.
0,Wait period between shots seems recollective.
0,Wait period between shots seems yearn.
0,Wait period between slam seems long.
1,Easy to use
1,Easy to usance
1,comfortable to use
1,soft to use
1,well-fixed to use
0,This thing eats batteries alive. 
0,This thing eat batteries alive. 
0,This thing eats batteries alert. 
0,This thing eats battery alive. 
0,This thing grub batteries alive. 
0,none for the money. 
0,none for the money. 
0,"No hierarchy in contact list, sync software hard to set up"
0,"No hierarchy in contact leaning, sync software hard to correct up"
0,"No hierarchy in contact list, sync software heavily to prepare up"
0,"No hierarchy in contact list, sync software strong to prepare up"
0,"No hierarchy in meet list, sync software hard to do up"
0,"bad technology, programs not integrated- can't add appointment from database, need two hands to operate"
0,"bad technology, plan not integrated- can't add appointment from database, take two hands to manoeuvre"
0,"bad technology, plan not integrated- can't sum appointment from database, need two hands to engage"
0,"bad technology, programs not integrated- can't add appointment from database, motive two manpower to work"
0,"unfit technology, programs not integrated- can't add appointment from database, need two handwriting to work"
0,Difficult to turn phone off and on
0,Difficult to bout phone off and on
0,Difficult to deform phone off and on
0,Difficult to play phone off and on
0,Difficult to turn telephone off and on
0,Slightly slow for color
0,Slightly dumb for color
0,Slightly slacken for color
0,Slightly slow for tinge
0,slenderly slow for color
1,"Excellent print quality, extremely inexpensive."
1,"Excellent impress quality, extremely inexpensive."
1,"Excellent mark quality, extremely inexpensive."
1,"Excellent print quality, passing inexpensive."
1,"Excellent print select, extremely inexpensive."
0,"Focus range begins at 4 feet, lens unprotected."
0,"Focus compass begins at 4 feet, lens unprotected."
0,"Focus order begins at 4 feet, lens unprotected."
0,"Focus range begins at tetrad feet, lens unprotected."
0,"Focus wander begins at 4 feet, lens unprotected."
1,"Solidly built, with a host of features."
1,"Solidly build, with a host of features."
1,"Solidly built, with a Host of features."
1,"Solidly built, with a host of characteristic."
1,"Solidly establish, with a host of features."
0,"Makes a mess of the ink platen, borders, no roll adapter"
0,"constitute a mess of the ink platen, borders, no wander adapter"
0,"fix a mess of the ink platen, borders, no cast adapter"
0,"micturate a flock of the ink platen, borders, no roll adapter"
0,"reach a peck of the ink platen, borders, no roll adapter"
0,"Flash not too 'smart', software"
0,"brassy not too 'smart', software"
0,"meretricious not too 'smart', software"
0,"scoot not too 'smart', software"
0,"tawdry not too 'smart', software"
0,Folding it can take some getting used to
0,Folding it can subscribe some getting used to
0,Folding it can take some getting exploited to
0,Folding it can take some grow used to
0,foldaway it can take some getting used to
1,"great, crisp photos."
1,"cracking, crisp photos."
1,"great, crinkle photos."
1,"nifty, crisp photos."
1,"smashing, crisp photos."
1,Effective combination of phone and PDA; you get what you pay for.
1,Effective combination of earpiece and PDA; you experience what you pay for.
1,Effective combination of phone and PDA; you produce what you yield for.
1,Effective combination of phone and PDA; you sire what you salary for.
1,Effective compounding of phone and PDA; you beat what you pay for.
1,nice photo prints; print from flash card
1,dainty photo prints; print from flash card
1,nice photo prints; print from flaunt card
1,nice photo prints; publish from flash card
1,nice photo publish; print from flash card
1,easy and efficient/durable
1,easy and efficient/perdurable
1,light and efficient/durable
1,promiscuous and efficient/durable
1,well-fixed and efficient/durable
0,"The battery life is lacking, no other real problems"
0,"The battery life is lacking, no other material problems"
0,"The battery life is lacking, no other substantial problems"
0,"The battery life is lacking, no other tangible problems"
0,"The battery liveliness is lacking, no other real problems"
1,"Compact, sturdy, vibrate mode"
1,"Compact, inflexible, vibrate mode"
1,"Compact, sturdy, vacillate mode"
1,"Compact, sturdy, vibrate way"
1,"heavyset, sturdy, vibrate mode"
0,Not small compared to other cams.  Hard to find.
0,Not small compared to other cams.  Hard to uncovering.
0,Not small compared to other cams.  grueling to find.
0,Not small compared to other cams.  knockout to find.
0,Not small compared to other cams.  surd to find.
1,"A heckuva deal for a reliable, unbulky laser printer."
1,"A heckuva apportion for a reliable, unbulky laser printer."
1,"A heckuva batch for a reliable, unbulky laser printer."
1,"A heckuva care for a reliable, unbulky laser printer."
1,"A heckuva sight for a reliable, unbulky laser printer."
0,"Speed, Build Quality"
0,"Speed, Build character"
0,"Speed, Build prime"
0,"Speed, Build timber"
0,"Speed, progress Quality"
0,Expensive!
0,Expensive!
0,expensive!
0,Temperamental zoom control
0,Temperamental zoom ascendance
0,Temperamental zoom dominance
0,Temperamental zoom mastery
0,Temperamental zoom operate
0,Image noise
0,epitome noise
0,fancy noise
0,image noise
0,persona noise
0,"Battery life, Zoom could be better, Switch on Back falls off"
0,"Battery life, Zoom could be bettor, Switch on hind falls off"
0,"Battery life, Zoom could be estimable, Switch on Back come off"
0,"Battery life, Zoom could be well, Switch on Back devolve off"
0,"Battery lifetime, Zoom could be better, Switch on indorse falls off"
0,not very many
0,not very many
0,"Text quality is less than exceptional, loud, fairly bulky"
0,"Text quality is less than exceptional, gimcrack, fairly bulky"
0,"Text quality is less than exceptional, meretricious, fairly bulky"
0,"Text quality is less than olympian, loud, fairly bulky"
0,"schoolbook quality is less than exceptional, loud, fairly bulky"
1,Light small
1,Light belittled
1,Light humble
1,fall small
1,spark small
1,"Excellent photo output, USB"
1,"Excellent exposure output, USB"
1,"Excellent pic output, USB"
1,"fantabulous photo output, USB"
1,"first-class photo output, USB"
0,big
0,bighearted
0,braggy
0,large
0,swelled
0,software is slow and time consuming
0,software is deadening and time consuming
0,software is ho-hum and time consuming
0,software is slow and sentence consuming
0,software is tardily and time consuming
1,"Features, Sound Quality"
1,"Features, Sound character"
1,"Features, healthy Quality"
1,"Features, phone Quality"
1,"Features, strait Quality"
1,"Space saving, high quality images, inexpensive"
1,"Space delivery, high quality images, inexpensive"
1,"Space redeeming, high quality images, inexpensive"
1,"Space saving, highschool quality images, inexpensive"
1,"Space saving, richly quality images, inexpensive"
1,"Small, good quality pics"
1,"Small, dear quality pics"
1,"Small, good caliber pics"
1,"Small, good lineament pics"
1,"minuscule, good quality pics"
0,"Lack of Windows2000 Drivers, No Zoom"
