class,text
1,"Features, Sound Quality"
1,"Characteristics, sound quality"
1,"Characters, sound quality"
1,Good Software feature
1,Good software function
1,Good software functionality
1,"Low Price, Brand name and Reliability"
1,"Low price, brand and reliability"
1,"Pret, brand name and reliability"
1,"Easy to use, pictures are fantastic, can use floppy discs"
1,"Easy to use, photos are fantastic, users of the droppy disk pot"
1,"Easy to use, photos are fantasticas and the launch point of user disks"
0,"Cost, flash, lens cover"
0,"Cost, flash, coverage lens"
0,"Cost, flash, lens cover"
0,"High printer cost means printer is not for everybody, can hog large amounts of CPU time leading to CPU hang time...  you may need to wait for medium to complex jobs to finish printing on low to medium range computers"
0,"The high cost of the printer means that the printer is not everything, it can accumulate large volumes of CPU time files... it may seem a complexity to complete the printer on low- and mid-distance computers."
0,page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page page
1,"fast, standalone, powerful"
1,"Fast, autonomous, powerful"
1,"Åk wasn't all light, independent, powerful"
1,Battery Life. 3.5&amp;quot; Floppy Convenience
1,Battery life. 3.5 & amp; Floppy Comfort
1,Battery life. 3.5&amp; Floppy Convenience
1,"Sleek and stylish, best displays in the market."
1,"Elegant and elegant, master at the market."
1,"Elegant and elegant, the best shows on the market."
1,It's small and looks cool.
1,It's small and unusual.
1,You're small and you look fresh.
1,"easy to use, review/preview options, easy to download"
1,"Easy to use, revision/preview options, easy to download"
1,"easy to use options, review/preview, easy to download"
1,Easy and trouble-free
1,Easy and Clear Problem
1,Easy and trouble-free
1,great value at a low price
1,Coma box for texus
1,High value at a low price
1,"well if it weren't a lemon... voice activation, display clarity, ringtone selection"
1,"If it wasn't for a lemon... vocal activation, clear vision, sound selection"
1,"if there is no lemon... vocal activation, clean, select the tone of the sound"
1,"small and compact, nice looking, good quality photos"
1,"Picasso and compact, beautiful look, good quality photos"
1,"small and compact, nice looking, good quality photos"
1,"Photo realistic prints, borderless printing, accepts roll paper"
1,"Realist photo print, Rimåke print, accept pope"
1,"Realistic Photographic Society, Unlimited Printing, Accepts Rolled Paper"
1,"simple, takes clear pictures while moving"
1,"Simple, clear photographer while moving"
1,"simple, take clear photos moving"
0,"Side buttons pressed, switches to speaker, bad camera, quality, size limits, etc etc etc"
0,"Press the side buttons, switch to speaker, defective camera, quality, measuring limit, etc."
0,"Press the side keys, switch to speaker, faulty camera, quality, size limit, etc."
0,No Fax
0,No fax
0,Without fax
1,"High resolution CCD, Many features, Easy-to-Use, Small, Portable, Quality Lens, "
1,"High CCD resolution, many features, easy to use, small lens, portable, quality,"
1,"High CCD resolution, many features, easy to use, small, portable, quality lens,"
0,haven't found any yet.
0,I haven't found any yet.
0,haven't found any yet.
0,"Fixed-focus, delay between shots."
0,"Fixed concentration, fire retardation."
0,The fixed focus slows down the absurd.
0,Large footprint
0,Big start
0,Larger print piece
1,Lightweight&amp;#13;&amp;#10;Good value&amp;#13;&amp;#10;Ultra fun
1,Light;#13;&amp;#10; good value;#13;&amp;#10; Other functions
1,Llum;#13;&amp;#10; Good value;#13;&amp;#10;Other function
0,software
0,software
0,software
1,"Simple, easy to use, no additional equipment to buy."
1,"Simple, easy to use, no spare equipment to buy."
1,"Simple, easy to use, there are no additional equipment to buy."
1,Effective combination of phone and PDA; you get what you pay for.
1,Effective combination of phone and PDA; get everything you pay for.
1,Effective combination of phone and PDA; you get what you pay for.
1,Clarity is exceptional. Lots of unexpected features.
1,"Clarity is exceptional, many unexpected features."
1,"The clarity is exceptional, many fetishes unnoticed."
1,VERY compact and awesome shell design
1,Very compact and amazing shell design
1,Very compact and impressive shell design
1,"Prints fast text documents, Quality photos."
1,"Print quick text documents, quality photos."
1,"Prints fast text documents, Quality photos."
0,Short Battery Life; Slow Download
0,Low battery life; Slow download
0,Short Battery Life; Slow Download
1,none
1,n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a n/a
1,"nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo, nimo"
1,"Quality printing, decent speed, long-life/high output"
1,"Print quality, decent speed, long life"
1,"Quality print, dignified speed, long service life / high output"
0,Communicam
0,Communicate
0,Communiqué
1,Cheap
1,Cheap
1,No way.
0,"Disconnected on lengthy calls, but good for someone who isn't on all the time."
0,"I don't know about long things, but it's good for someone who's not all the time."
0,"There are no readings, but for those who are not, not everything is empty."
1,Excellent phone for the price. Lots of features I've never had before.
1,"A great phone call for the price, a set of characters I'd never imagined."
1,Great phone for the price. Many features you never have.
0,Text Quality was blurry Photos nowhere near the quality of the HP5550 
0,Text quality has been deleted Images not nearly the quality of HP5550
0,Text quality has been removed Photography no more quality HP5550
1,Very reputable brand name
1,Very well known trade name
1,Well-notified trade name
0,more noise than the s45 (the s50's 4MP stablemate)
0,more noise than s45 (paras. 4MP s50's)
0,more noise than s45 (s50 stable 4MP)
0,Slow; Consumes lots of memory and CPU from your PC; Works well only for Windows95/98
0,Lens provides CPU and PC memory that discovers well served for Windows95/98
0,Slow; Consume a lot of PC and CPU memory; works well only for Windows95/98
1,"Good Output, Nice DPI"
1,"Good luck, good IPR."
1,"Good way out, good DPI."
0,"fingerprint smudges, okay camera, pricy with no plan"
0,"Digital enterprise, room, floorless."
0,"The beginning, the camera, the location of the page is missing."
0,Is there?
0,Hello?
0,Is there?
1,"Great image quality, good text quality, fairly speedy"
1,"Great image quality, good text quality, fairly speedy"
1,"High image quality, good text quality, fast enough"
1,"Bluetooth Wireless Capability; Sleek, Durable Design"
1,"Bluetooth wireless power; silence, durable design"
1,Inhaled Bluetooth capacity; elegant and durable design
1,Camera is so user friendly. Has all the options. 
1,The room is so intuitive.
1,"The room is very easy to use, it has all the options."
1,"Ease of use, mac-compatible, attractive, affordable, value for money"
1,"Easy to use, Mac compatible, attractive, accessible, price-quality ratio"
1,"Easy to use, compatible with mac, attractive, accessible, price/quality ratio"
1,does all the phone functions adequately
1,Could not find all the functions of the page
1,Do all the phone functions correctly.
0,"Almost too small sometimes, accessories not readily available, no auto keylock feature"
0,"Almost miniscule, sometimes not available accessible, without automatic keyboard"
0,"Almost too small, not available, not automatically selected"
0,ink is expensive
0,It's expensive painting.
0,The color is expensive
0,"Had to replace once, nothing else. This phone is excellent."
0,A timeless enemy.
0,"You have to replace one, that's all."
1,"Reliable, comfortable size, clear sound, 200hrs+ standby, Bluetooth earphones, + so much more"
1,"Fidel, comfortable, clean, 200hs+ reservation, Bluetooth pads, + mount"
1,"Figurî, complaeçment, liquidjaedje, tchying 200hs+, Bluetooth orfers, + mut plus"
1,"ease of use, fast B/W prints, small driver footprint"
1,"Easy to use, quick B/W tracks, tiny driver tracks"
1,"Easy to use, quick print B/W, minimum print driver"
0,Can't think of any cons
0,I can't imagine any contrast.
0,You can't think of any contrasts.
0,"Frequent ink cartridge replacement, messy prints, and frequent problems"
0,"Frequent replacement of ink cartridge, confusing impressions and frequent problems."
0,"Frequent replacements of ink cartridges, impressions and frequent problems"
0,"Tremendous ink consumption, frequent paper jams"
0,"Consumption of trembling ink, frequent paper connections"
0,"Like a trembling pin, I insert a common paper."
1,"Lightweight, games, Tones"
1,"Lightweight, games, tones"
1,"Lightweight, shrimp, tones"
0,customer service
0,Advice to the customer.
0,Custodium service
0,"Only comes with 16mb media, but can be expanded to 128."
0,"It is supplied only with 16mb supports, but can be extended to 128."
0,"They are only delivered with an average of 16 MB, but can be extended to 128 MB."
0,"Slight auto focus lag, kind of expensive."
0,"A small phase of automatic approximation, something expensive."
0,"Light automatic approach lagoon, a bit expensive."
