class,text
0,"it played only one out of three dvd 's without problems , the other two being afflicted by a number of glitches . "
0,"it played only ane out of three videodisk 's without problems , the other deuce being afflict by a number of glitches . "
0,This is not an enterprise piece of hardware that you will find in an office or corporate environment. 
0,This is not an endeavour pick of hardware that you will regain in an office or corporate environment. 
1," The final insult is that while this router comes with useful software to make sharing printers wirelessly a snap , it 's only a trial version -- you have to download the trial software from the internet then pay an additional $ 40-60 to some unknown company to unlock all the features !"
1," The final abuse is that while this router get with useful package to piss sharing printers wirelessly a pushover , it 's only a tryout version -- you have to download the trial package from the internet then pay an additional $ 40-60 to some unknown fellowship to unlock all the lineament !"
1,Fits comfortably in my inside jacket pocket or in my pants pocket. 
1,scene comfortably in my inside jacket pocket or in my heave pocket. 
0,"yeah i agree the earbuds are pretty crap , replace them . "
0,"yeah i gibe the earbuds are pretty crap , supercede them . "
0,"the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu order , to select them by using the number keypad . "
0,"the menu alternative appear unrivaled at a time , deal up the whole riddle , and peerless has to scroll down peerless by one , or have memorized where they are in the carte tell , to select them by using the number keypad . "
0,- this did not feel like quality construction and i was n't sure how long it would last . 
0,- this did not experience like quality construction and i was n't sure how recollective it would endure . 
1,Have had the Nokia 6600 for a year now and am generally very happy with it and with T-Mobile.
1,give had the Nokia 6600 for a yr now and am generally very felicitous with it and with T-Mobile.
0,This phone doesn't include Phone card calling.
0,This phone doesn't include Phone card holler.
1,"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome . "
1,"we scarcely ever have to accuse them , get great reception ( endure in Newmarket ) , and the customization and applications are awesome . "
0,forget about the sleek looks if it can 't play some of your real dvds. 
0,forget about the streamlined appear if it can 't play some of your existent dvds. 
1,"even with these shortcomings , i still think it is the best digital camera available under $ 1200 . "
1,"even with these shortcomings , i distillery think it is the well digital camera usable under $ 1200 . "
0,"The colors are a joke, and I personally hate the stupid vertical touchpad. "
0,"The coloring are a joke, and I personally hate the dullard vertical touchpad. "
1,"first , the battery is replacable by the user , because creative intended it to be - unlike apple with the ipod . "
1,"maiden , the battery is replacable by the user , because creative intend it to be - dissimilar apple with the ipod . "
0,"That is, you cannot access the internet at all.  "
0,"That is, you cannot admittance the internet at all.  "
0,"it has a 3x optical zoom , which is average for these cameras . "
0,"it has a 3x optic zoom , which is median for these cameras . "
1, This is one of the nicest electronic devices that I 've ever owned .
1, This is one of the prissy electronic devices that 1 've ever owned .
0,it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working . 
0,it is embarassing have phone calls from family members evidence you that the dvd histrion you have them less that 3 months ago is no thirster working . 
0,the front cover can pop off easily but i always have mine in the case so i did n't notice after first day . 
0,the front cover can popular off easily but i always have mine in the caseful so i did n't mark after outset day . 
1,"3) Joy stick for eazy navigation, 35Mb memory card to store the pictures and stuff."
1,"3) Joy stick for eazy navigation, 35Mb memory lineup to store the video and hooey."
0, There is no speaker grill to offer any protection to the driver .
0, There is no verbalizer grill to go any protection to the driver .
1,"considering the price and specs , this might be the best buy out there for a large memory mp3 player . "
1,"view the price and specs , this might be the best purchase out there for a bombastic memory mp3 player . "
0,"i tried to play the song three times , with no success . "
0,"i tried to play the song terzetto clip , with no success . "
1," I thot my original monitor had a good image , but the S201HL has a much brighter display ."
1," I thot my pilot monitor had a skilful persona , but the S201HL has a much brighter display ."
0," D-Link support was polite and tried to help , but just worked through a script and was unsuccessful ."
0," D-Link funding was polite and well-tried to help , but just work through a script and was unsuccessful ."
1,owner 's manual has substandard troubleshooting guide . 
1,owner 's manual has substandard troubleshooting lead . 
1,Picture quality's great for still and video with sound.
1,Picture quality's great for hush and video with sound.
0,about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . 
0,about the only legalise criticsm from the online recapitulation is that fact that the lens rattling does block the viewfinder . 
0,i am annoyed that the player 's not automatically recognized as a hard drive . 
0,i am annoyed that the player 's not automatically discern as a strong drive . 
1,"also , the display is "" hinged "" and it can be placed in a myriad of positions , or to protect it against any damage . "
1,"too , the display is "" hinged "" and it can be invest in a countless of location , or to protect it against any damage . "
0,fm receiver - it has none . 
0,fm liquidator - it has none . 
1,"I have especially enjoyed the 640x480 mode, while not a replacement for a dedicated video camera, its quality easily surpasses that of my old Hi-8 camera and is perfect for quick clips of things that still images just dont describe (max 8 mins at 640 30fps on a one gig card). "
1,"I have especially enjoyed the 640x480 mode, while not a refilling for a dedicated video camera, its quality easily outgo that of my sometime Hi-8 camera and is gross for straightaway nip of thing that still images just dont describe (max eighter mins at 640 30fps on a 1 gig wag). "
0,"If you call apple and tell them your ipod has been damaged, they charge you roughly $105.50 per minute and blame you for ""abusing"" your ipod."
0,"If you yell apple and order them your ipod has been damaged, they file you roughly $105.50 per minute and blame you for ""clapperclaw"" your iPod."
0,"During install, NIS would either freeze or not reboot properly when asked to do so."
0,"During install, nickel would either immobilize or not reboot decent when asked to do so."
1,"the headphone earbuds are average , so just use your regular pair instead . "
1,"the headphone earbuds are average , so just utilization your regular couple instead . "
1,great price . 
1,dandy price . 
1, This product is hard to beat at any price .
1, This product is heavily to beat at any price .
0,- the software that came with it was tough to load . 
0,- the software that came with it was yobbo to incumbrance . 
1,I've since gotten the Linksys Modem (BEFCMU10) and stacked it with the WRT54G router and it works fantastic!!! 
