class,text
1,Inexpensive Photo Quality
1,Inexpensive Frame Quality
1,Inexpensive Leica Photo Quality
1,Inexpensive Photo Detail Quality
1,Inexpensive Photo Gallery Quality
1,Inexpensive Photo Project
1,Inexpensive Product Photo Quality
1,Perfect Photo Quality
1,Premium Photo Quality
1,"price, prints, features"
1,"Audio, prints, features"
1,"games, prints, features"
1,"price, affordability, features"
1,"price, prints, artwork"
1,"price, prints, distribution"
1,"price, prints, photography features"
1,"price, prints, pictures"
1,"price, sans prints, features"
1,"It's small and has many functions, and the discs hold a lot of pictures."
1,"It's small and has many attachments, and the magnets hold a lot of pictures."
1,"It's small and has many functions, and also the discs hold a lot of pictures."
1,"It's small and has many functions, and the discs hold a lot thousands of pictures."
1,"It's small and has many functions, and the discs hold a lot volume of pictures."
1,"It's small and has many functions, and the outer discs hold a lot of pictures."
1,"It's small and has many side functions, and the discs hold a lot of pictures."
1,"It's small and has special functions, and the colored discs hold a lot of pictures."
1,"It's unbelievably small and has many functions, and the discs hold a lot of games."
1,"Compact, light, good quality, great flash!"
1,"Compact, beautiful, good quality, great flash!"
1,"Compact, light, decent quality, great flash!"
1,"Compact, light, good quality, beautiful flash!"
1,"Compact, light, good quality, flash flash!"
1,"Compact, light, good quality, great entertainment!"
1,"Compact, light, good quality, packs great flash!"
1,"Compact, light, incredible quality, great flash!"
1,"Compact, ultra light, good quality, great flash!"
0,more noise than the s45 (the s50's 4MP stablemate)
0,more noise suppression than the s45 (the s50's 4MP stablemate)
0,more noise than bass (the s50's 4MP stablemate)
0,more noise than the Scorpion (the s50's 4MP stablemate)
0,more noise than the aging s45 (the s50's 4MP stablemate)
0,more noise than the s45 (internal 4MP stablemate)
0,more noise than the s45 (the Sony s50's 4MP stablemate)
0,more noise than the s45 (the other s50's 4MP stablemate)
0,more noise than the s45 (the s50's 4MP Turbo stablemate)
1,"easy to use, web, color, durable,"
1,"Things to use, web, color, durable,"
1,"easy to begin use, web, color, durable,"
1,"easy to remove,, color, durable,"
1,"easy to to use, web, color, durable,"
1,"easy to use, stylish, color, durable,"
1,"easy to use, web, color, erg durable,"
1,"easy to use, web, color, navigation,"
1,"easy to use, web, color, rugged durable,"
0,Lens cap can be bothersome
0,Draft cap can be bothersome
0,Lens cap can always be bothersome
0,Lens cap can be applied
0,Lens cap can just be bothersome
0,Lens mounts can be bothersome
0,Lens sizes can be bothersome
0,Lens weight cap can be bothersome
0,New cap can be bothersome
0,"Batteries are expensive, you have to buy the AC adapter for $150 if you want one"
0,"As are expensive, you have to buy the Dell AC adapter for $150 if you want one"
0,"Batteries are crazy expensive, you have to buy into the AC adapter for $150 if you want one"
0,"Batteries are expensive, often you have to buy the newest adapter for $150 if you want one"
0,"Batteries are expensive, you have access to buy the AC adapter for $150 if you want larger one"
0,"Batteries are expensive, you have to go buy the AC adapter for $150 though if you want one"
0,"Batteries are expensive, you have to pay the nearest adapter for $150 if truly you want one"
0,"Those are expensive, you have to buy the USB adapter for $150 if you want longer one"
0,"accessories are expensive, you have option to buy the AC adapter for $150 if you want one"
1,"Inexpensive, Superb Quality."
1,"Efficiency, Superb Quality."
1,"Inexpensive, High Superb Quality."
1,"Inexpensive, Missing Quality."
1,"Inexpensive, Premium Quality."
1,"Inexpensive, Superb By Quality."
1,"Inexpensive, Superb inary Quality."
1,"Inexpensive, Superb ute Quality."
1,"Inexpensive, Uncommon Quality."
0,"Short batter life, slow transfers"
0,"Changing batter life, slow transfers"
0,"Modern batter life, slow transfers"
0,"Real batter life, slow transfers"
0,"Short batter life, slow execution"
0,"Short batter life, slow key transfers"
0,"Short batter life, slow velocity transfers"
0,"Short batter shortened life, slow transfers"
0,"Short ening life, slow transfers"
0,Definitaly use  an Adapter
0,Definitaly Disease  an Adapter
0,Definitaly use  an Electric Adapter
0,Definitaly use  an Electronic Adapter
0,Definitaly use  an Interface Adapter
0,Definitaly use  an zac
0,Definitaly use  as an Adapter
0,Definitaly use  is an Adapter
0,Please use  an Adapter
1,"Price, After Market ink, Speed"
1,"Design, After Market ink, Speed"
1,"Economy, After Market ink, Speed"
1,"Price, After Market Expl ink, Speed"
1,"Price, After Market Ranking, Speed"
1,"Price, After Market Under ink, Speed"
1,"Price, After shock Market ink, Speed"
1,"Price, Consumer Market ink, Speed"
1,"Price, Global Market ink, Speed"
1,Great AVI system 
1,Dual AVI system 
1,Great AVI Quote 
1,Great AVI Story 
1,Great AVI transmission system 
1,Great eco system 
1,Great economic system 
1,Great energy system 
1,Great est system 
0,Paper curls.
0,Paper Back.
0,Paper Print.
0,Paper backs.
0,Paper box.
0,Paper top.
0,Pretty curls.
0,blonde curls.
0,eyebrow curls.
0,Ugly and slow.
0,Cold and slow.
0,Light and slow.
0,Poor and slow.
0,Ugly and dark.
0,Ugly and shameful.
0,Ugly dishes and slow.
0,Ugly drinks and slow.
0,Ugly soup and slow.
1,"Compact, easy to set up, good quality printouts"
1,"Compact, easy to read set up, good quality printouts"
1,"Compact, easy to set up, also good quality printouts"
1,"Compact, easy to set up, decent quality printouts"
1,"Compact, easy to set up, good printer printouts"
1,"Compact, easy to set up, good quality components"
1,"Compact, easy to set up, good quality solution"
1,"Compact, easy to set up, require good quality printouts"
1,"Simple, easy to set up, good quality printouts"
1,"Inexpensive, high quality, features"
1,"Inexpensive, high commercial quality, features"
1,"Inexpensive, high hopes, features"
1,"Inexpensive, high media quality, features"
1,"Inexpensive, not high quality, features"
1,"Inexpensive, small, features"
1,"Network, high quality, features"
1,"Sharp, high quality, features"
1,"Speed, high quality, features"
1,NEVER HAVE TO BUY FILM OR PAY FOR DEVELOPING
1,NEVER ENTER TO BUY FILM OR PAY FOR DEVELOPING
1,NEVER HAVE HELP TO BUY FILM OR PAY FOR DEVELOPING
1,NEVER HAVE TO BUY FILM OR PAY FOR EVEN DEVELOPING
1,NEVER HAVE TO BUY FILM OR PAY FOR ONE
1,NEVER HAVE TO BUY FILM OR PAY YOU FOR DEVELOPING
1,NEVER HAVE TO CALL FILM OR PAY FOR DEVELOPING
1,NEVER HAVE TO REALLY BUY FILM OR PAY FOR DEVELOPING
1,NEVER SO HAVE TO BUY FILM OR PAY FOR DEVELOPING
1,Big screen. PDA and Phone in one. MP3 ringtones.
1,Big Lots. PDA and Phone in one. MP3 ringtones.
1,Big screen. Console and Phone in one. MP3 ringtones.
1,Big screen. PDA and Camera in one. MP3 ringtones.
1,Big screen. PDA and HUD in one. MP3 ringtones.
1,Big screen. PDA and Phone in HD. MP3 ringtones.
1,Big screen. PDA and Phone in black. MP3 ringtones.
1,Big screen. PDA and Phone in category one. MP3 ringtones.
1,Big screen. PDA and Phone in one. MP3 s ringtones.
1,"6X Zoom, Incredibly Sharp Detail"
1,"6X Zoom, Adding Incredibly Sharp Detail"
1,"6X Zoom, Has Incredibly Sharp Detail"
1,"6X Zoom, Incredibly Clever Detail"
1,"6X Zoom, Incredibly Sharp Color"
1,"6X Zoom, Incredibly Sharp Hands"
1,"6X Zoom, Incredibly Sharp Hardware"
1,"A Zoom, Incredibly Sharp Detail"
1,Very reputable brand name
1,Very important brand name
1,Very rare reputable brand name
1,Very reputable airline brand name
1,Very reputable brand </s>
1,Very reputable brand corporate name
1,Very reputable brand goes name
1,Very reputable international brand name
1,Very widely reputable brand name
0,"The new ""Compaq"" and ""Samsung"" compliant  cartridges don't work in it."
0,"The new ""Compaq"" and ""Samsung"" compliant  cartridges don't work in compiling it."
0,"The new ""Compaq"" and ""Samsung"" compliant  cartridges don't work in removing it."
0,"The new ""Compaq"" and ""Samsung"" compliant  lenses don't work in repairing it."
0,"The new ""Compaq"" and ""Samsung"" memory  modules don't work in it."
0,"The new ""Compaq"" and ""Ultimate Samsung"" compliant  cartridges don't work in it."
0,"The new ""Compaq"" chipset and ""Samsung"" compliant  cartridges don't work in it."
0,"The new ""LG Compaq"" and ""Samsung"" compliant  cartridges don't work in it."
0,"The proverbial ""Compaq"" and ""Samsung"" Snapdragon  cartridges don't work in it."
0,"VERY Hard to Push/Control, Heavy, Huge"
0,"VERY Hard to Arm/Control, Heavy, Huge"
0,"VERY Hard to Build/Control, Heavy, Huge"
0,"VERY Hard to Push/Control, Heavy, Faster"
0,"VERY Hard to Push/Control, Heavy, Possibly Huge"
0,"VERY Hard to Push/Control, Heavy, Tight"
0,"VERY Hard to Push/Control, Heavy, Twisted"
0,"VERY Hard to Push/Off Control, Heavy, Huge"
0,"VERY How to Push/Control, Heavy, Huge"
0,"No flash, poor pictures, and you can't see the pics until you download."
0,"No filters, poor pictures, and you can't see the pics until you complete download."
0,"No flash, fuzzy textures, and you can't see the pics until you download."
0,"No flash, poor pictures, and you can't physically see the pics until you download."
0,"No flash, poor pictures, and you can't see the actual pics until you do."
0,"No flash, poor pictures, and you can't see the deleted pics until you download."
0,"No flash, poor pictures, and you can't see the proper pics until you download."
0,"No flash, still poor pictures, and you can't see the pics until you download."
0,"No memory flash, poor pictures, and you can't see the pics until you download."
0,This thing eats batteries alive. 
0,This goddamn thing eats batteries alive. 
0,This shiny thing eats batteries alive. 
0,This thing 's batteries alive. 
0,This thing eats batteries everywhere. 
0,This thing eats everything alive. 
0,This thing eats it alive. 
0,This thing eats ya alive. 
0,This thing totally eats batteries alive. 
0,"Long time between photos, bad in low-light conditions, HP charges for driver downloads now"
0,"Long time between loading photos, bad in low-light conditions, HP charges for driver downloads now"
0,"Long time between photos, bad in especially low-light conditions, HP charges for driver downloads now"
0,"Long time between photos, bad in low-light conditions, HP charges for driver certificate downloads now"
0,"Long time between photos, bad in low-light conditions, HP charges for driver downloads for now"
0,"Long time between photos, bad in low-light conditions, cheaper charges for media downloads now"
0,"Long time between photos, bad in low-light conditions, low HP charges for driver downloads now"
0,"Long time between photos, bad road in low-light conditions, HP charges for driver driving now"
0,"Same time between photos, delays in low-light conditions, HP charges for driver downloads now"
0,none thus far
0,Events thus far
0,Games thus far
0,Production thus far
0,none Seen thus far
0,none heard thus far
0,none ratings thus far
0,none thus notable
0,none thus noted
0,"Fixed-focus, delay between shots."
0,"Fixed-focus, delay between quotes."
0,"Fixed-focus, delay breaks between shots."
0,"Fixed-focus, delay feedback between shots."
0,"Fixed-focus, delay pauses between shots."
0,"Fixed-focus, intermittent delay between shots."
0,"Fixed-focus, spacing between shots."
0,"Second, delay between shots."
0,"Typically, delay between shots."
0,antenna suscepitble to breaking easily
0,antenna key to breaking easily
0,antenna prevents suscepitble to breaking easily
0,antenna suscepitble refers to breaking easily
0,antenna suscepitble to breaking curfew
0,antenna suscepitble to breaking ribs
0,antenna suscepitble to perform easily
0,antenna suscepitble to spell breaking easily
0,"keys ""sweat"" on the screen, talk time is 'eh', no full mp3's"
0,"keys ""sweat"" mode on the screen, talk time is 'eh', no full mp3's"
0,"keys ""sweat"" on the TV screen, talk time is 'eh', no full mp3's"
0,"keys ""sweat"" on the fly, is 'eh', no full mp3's"
0,"keys ""sweat"" on the screen, actual talk length is 'eh', no full mp3's"
0,"keys ""sweat"" on the screen, talk time is 'eh', no full bore mp3's"
0,"keys ""sweat"" on the screen, talk time is 'great eh', no full mp3's"
0,"keys ""sweat"" on the screen, volume talk time is 'eh', no full mp3's"
0,"keys ""sweat"" on the screen, when talk time is 'eh', no full mp3's"
1,"Color screen,speaker phone,camera capability,and the web."
1,"Color screen,Pixel phone,camera capability,and the web."
1,"Color screen,glass speaker phone,camera capability,and the web."
1,"Color screen,speaker app, capability,and the web."
1,"Color screen,speaker inputs,camera capability,and the web."
1,"Color screen,speaker modes,camera capability,and the web."
1,"Color screen,speaker phone,camera capability,and the app."
1,"Color screen,speaker phone,camera capability,and the lens."
1,"Color selector, phone,camera capability,and the web."
1,"Small, Lithium battery, Great colours"
1,"Small, Brilliant, Great colours"
1,"Small, Good, Great colours"
1,"Small, Lithium Crystal, Great colours"
1,"Small, Lithium Titanium, Great colours"
1,"Small, Lithium chloride, Great colours"
1,"Small, Micro Lithium battery, Great colours"
1,"Small, lightweight Lithium battery, Great colours"
1,Takes great pictures
1,Takes all great pictures
1,Takes away great pictures
1,Takes great dog pictures
1,Takes great pie
1,Takes of pictures
1,Takes these great pictures
1,Takes you great pictures
1,Taking great pictures
0,"Lack of Windows2000 Drivers, No Zoom"
0,"Lack of Manual Drivers, No Zoom"
0,"Lack of Private Drivers, No Zoom"
0,"Lack of Windows2000 Drivers, Hidden Zoom"
0,"Lack of Windows2000 Drivers, No Auto Zoom"
0,"Lack of Windows2000 Drivers, Visual Zoom"
0,"Lack of Windows2000 Express Drivers, No Zoom"
0,"Lack of Windows2000 Ports, No Zoom"
0,"Lack of Windows2000 Pro Drivers, No Zoom"
1,"Unique features, holds multiple children if necessary"
1,"Camera features, holds multiple children if necessary"
1,"External features, holds multiple children if necessary"
1,"Unique features, accept multiple children if necessary"
1,"Unique features, adding multiple children if necessary"
1,"Unique features, holds nearby children if necessary"
1,"Unique features, holds unwanted children if necessary"
1,"Unique features, holds up children if necessary"
1,"Unique features, train children if necessary"
1,"Excellent print quality, extremely inexpensive."
1,"Excellent high print quality, extremely inexpensive."
1,"Excellent high quality, extremely inexpensive."
1,"Excellent print able, extremely inexpensive."
1,"Excellent print format, extremely inexpensive."
